wmae,mae,rmse,n_rows,anom_mae,fold,train_start,train_end,val_start,val_end,kernel,bandwidth,min_samples,ridge,coef_clip,anom_clip_scale,run_id,runtime_sec
2542.946432953224,2360.49162395799,5060.689662005889,38798.0,2360.49162395799,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,tricube,8,16,0.0001,6.0,2.0,6,96.73988000000827
2171.045688692969,2177.9738689634664,4453.848817665359,38685.0,2177.9738689634664,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,tricube,8,16,0.0001,6.0,2.0,6,96.73988000000827
1932.2643124091007,1932.2643124091007,3756.040124731777,38373.0,1932.2643124091012,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,tricube,8,16,0.0001,6.0,2.0,6,96.73988000000827
1766.6025961376083,1738.2528982057263,3596.742860619214,38530.0,1738.2528982057265,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,tricube,8,16,0.0001,6.0,2.0,6,96.73988000000827
2467.0132186530486,2265.426699532032,4932.553326901273,38798.0,2265.4266995320318,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,exponential,4,12,0.0001,6.0,2.0,7,98.58605390001321
2163.698182405527,2172.3800134281405,4445.726117474177,38685.0,2172.3800134281405,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,exponential,4,12,0.0001,6.0,2.0,7,98.58605390001321
1909.387680310987,1909.387680310987,3710.7785915048985,38373.0,1909.387680310987,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,exponential,4,12,0.0001,6.0,2.0,7,98.58605390001321
1725.4279052352026,1704.886351639966,3517.000029701437,38530.0,1704.886351639966,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,exponential,4,12,0.0001,6.0,2.0,7,98.58605390001321
2467.0128210786957,2265.421783689551,4932.530359784086,38798.0,2265.421783689551,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,exponential,4,16,0.0001,6.0,2.0,8,98.12359609996201
2163.727145060266,2172.404716787792,4445.77182561532,38685.0,2172.404716787792,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,exponential,4,16,0.0001,6.0,2.0,8,98.12359609996201
1909.3871241249426,1909.3871241249426,3710.7792931251997,38373.0,1909.3871241249426,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,exponential,4,16,0.0001,6.0,2.0,8,98.12359609996201
1725.4266963000075,1704.8847704543905,3516.995600421989,38530.0,1704.8847704543905,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,exponential,4,16,0.0001,6.0,2.0,8,98.12359609996201
2458.4865021074543,2253.771857469419,4921.715604650614,38798.0,2253.771857469419,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,exponential,6,12,0.0001,6.0,2.0,9,102.00653140002396
2144.262055678287,2151.882741551342,4391.925103768909,38685.0,2151.882741551342,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,exponential,6,12,0.0001,6.0,2.0,9,102.00653140002396
1883.3943170855011,1883.3943170855011,3659.40669750619,38373.0,1883.3943170855011,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,exponential,6,12,0.0001,6.0,2.0,9,102.00653140002396
